PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
1975 yh 19 0 2028424 157832 0 Sl 0.0 0.9 00:00:00 xwaylandvideobr
2006 yh 19 0 468440 7504 0 Ssl 0.0 0.0 00:00:00 gsd-usb-protect
2007 yh 19 0 392392 9476 0 Ssl 0.0 0.0 00:00:00 gsd-wwan
2035 root 19 0 691500 13676 0 Ssl 0.0 0.0 00:00:13 udisksd
2039 yh 19 0 396684 9936 0 Sl 0.0 0.0 00:00:00 gsd-printer
2067 yh 19 0 2734868 31648 0 Sl 0.0 0.1 00:00:00 gjs
2112 yh 0 - 738540 36328 0 SNsl 0.0 0.2 00:00:01 localsearch-3
2115 yh 19 0 1174536 20080 0 Ssl 0.0 0.1 00:00:02 xdg-desktop-por
2125 yh 19 0 838800 6892 0 Ssl 0.0 0.0 00:00:00 xdg-document-po
2148 yh 19 0 466304 29160 0 Sl 0.0 0.1 00:00:00 goa-daemon
2155 root 19 0 2592 1584 0 Ss 0.0 0.0 00:00:00 fusermount3
2160 yh 19 0 768928 52156 0 Ssl 0.0 0.3 00:00:00 xdg-desktop-por
2167 yh 19 0 390720 9004 0 Sl 0.0 0.0 00:00:00 goa-identity-se
2175 yh 19 0 897228 25776 0 Ssl 0.0 0.1 00:00:00 evolution-calen
2188 yh 19 0 831296 35012 0 Ssl 0.0 0.2 00:00:00 evolution-addre
2197 yh 19 0 393896 11020 0 Ssl 0.0 0.0 00:00:00 gvfs-udisks2-vo
2205 yh 19 0 311760 6696 0 Ssl 0.0 0.0 00:00:00 gvfs-gphoto2-vo
2210 yh 19 0 310792 6192 0 Ssl 0.0 0.0 00:00:00 gvfs-mtp-volume
2215 yh 19 0 392848 8000 0 Ssl 0.0 0.0 00:00:04 gvfs-afc-volume
2221 yh 19 0 310768 6252 0 Ssl 0.0 0.0 00:00:00 gvfs-goa-volume
2226 yh 19 0 229632 70800 0 S 0.0 0.4 00:00:00 Xwayland
2286 yh 19 0 667568 66140 0 Ssl 0.0 0.4 00:00:09 Thunar
2300 yh 19 0 389948 8420 0 Sl 0.0 0.0 00:00:00 gvfsd-recent
2301 yh 19 0 537436 9336 0 Sl 0.0 0.0 00:00:00 gvfsd-trash
2327 yh 19 0 1734716 133536 0 Sl 0.0 0.8 00:00:00 mutter-x11-fram
2331 yh 19 0 19464 1528 0 S 0.0 0.0 00:00:00 VBoxClient
2332 yh 19 0 218780 6132 0 Sl 0.0 0.0 00:00:00 VBoxClient
2335 yh 19 0 388704 10916 0 Sl 0.0 0.0 00:00:01 ibus-daemon
2364 yh 19 0 245960 7040 0 Sl 0.0 0.0 00:00:00 ibus-dconf
2372 yh 19 0 499408 35680 0 Sl 0.0 0.2 00:00:01 ibus-extension-
2378 yh 19 0 387168 68744 0 Sl 0.0 0.4 00:00:00 ibus-x11
2382 yh 19 0 311480 7024 0 Sl 0.0 0.0 00:00:00 ibus-portal
2413 yh 19 0 19464 1756 0 S 0.0 0.0 00:00:00 VBoxClient
2415 yh 19 0 151568 2388 0 Sl 0.0 0.0 00:00:09 VBoxClient
2447 yh 19 0 456664 21864 0 Ssl 0.0 0.1 00:00:00 obexd
2567 yh 19 0 172260 7204 0 Sl 0.0 0.0 00:00:00 ibus-engine-sim
2609 yh 19 0 171892 6576 0 Ssl 0.0 0.0 00:00:00 gvfsd-metadata
2630 yh 19 0 493220 28852 0 Ssl 0.0 0.1 00:00:00 xdg-desktop-por
4597 yh 19 0 390232 8756 0 Sl 0.0 0.0 00:00:00 gvfsd-network
4606 yh 19 0 391384 8512 0 Sl 0.0 0.0 00:00:00 gvfsd-dnssd
7710 yh 19 0 10364 3612 0 Ss 0.0 0.0 00:00:04 bash
7813 yh 19 0 997396 55960 0 Sl 0.0 0.3 00:00:03 node
7845 yh 19 0 2688 1484 0 S 0.0 0.0 00:00:00 sh
7858 yh 19 0 12221420 513772 0 Sl 0.2 3.1 00:03:43 node
7940 yh 19 0 11808332 73628 0 Sl 0.0 0.4 00:00:46 node
12754 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u33:2
13181 root 19 0 5517352 73756 0 Ssl 0.8 0.4 00:14:07 clash
13185 root 19 0 1084508 10576 0 Ssl 0.0 0.0 00:00:00 clash-dashboard
20100 yh 19 0 10364 3548 0 Ss 0.0 0.0 00:00:04 bash
27183 yh 19 0 2688 1512 0 S 0.0 0.0 00:00:00 sh
27187 yh 19 0 11849632 140000 0 Sl 0.0 0.8 00:01:29 node
27238 yh 19 0 1446608 91600 0 Sl 0.1 0.5 00:02:06 node
27518 root 19 0 20128 9996 0 Ss 0.0 0.0 00:00:00 sshd-session
27549 yh 19 0 20708 7056 0 S 0.0 0.0 00:00:31 sshd-session
27550 yh 19 0 2688 1724 0 Ss 0.0 0.0 00:00:00 sh
27568 yh 19 0 59984 33340 0 Sl 0.0 0.2 00:01:03 code-0870c2a0c7
27595 yh 19 0 54799716 564684 0 Sl 0.1 3.4 00:02:08 node
27606 yh 19 0 1264184 79092 0 Sl 0.0 0.4 00:01:07 node
27674 yh 19 0 2688 1484 0 S 0.0 0.0 00:00:00 sh
29625 root 19 0 0 0 0 I 0.0 0.0 00:00:00 kworker/u24:0-ipv6_addrconf
32967 yh 19 0 17116 8296 0 Ss+ 0.0 0.0 00:00:04 zsh
35702 yh 19 0 10364 3532 0 Ss 0.0 0.0 00:00:04 bash
40688 root 41 - 0 0 0 S 0.0 0.0 00:00:00 psimon
40846 root 19 0 3029144 115040 0 Ssl 0.0 0.7 00:00:50 dockerd
47154 yh 19 0 1020504 69572 0 Sl 0.0 0.4 00:00:04 node
193536 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u34:1
214396 root 39 -20 0 0 0 I< 0.0 0.0 00:00:00 kworker/u35:1
221817 root 19 0 20000 11616 0 Ss 0.0 0.0 00:00:00 sshd-session
221886 yh 19 0 20580 8152 0 S 0.0 0.0 00:00:19 sshd-session
221887 yh 19 0 10364 3816 0 Ss 0.0 0.0 00:00:03 bash
